diff --git a/src/data/mappings.csv b/src/data/mappings.csv
new file mode 100644
index 0000000000000000000000000000000000000000..23457dda11aee709fd3ffd3db73b8ca1fa9156e9
--- /dev/null
+++ b/src/data/mappings.csv
@@ -0,0 +1,18 @@
+provider_code,source,regex_hint,substring_hint,category,user_message,agent_steps,severity,can_autofix,action_type
+530,JDE,,statement reference,STATEMENT_REFERENCE_ERROR,We couldn't match that statement. Please refresh your statements and try again.,"1) Refresh statements from ERP;2) Verify statement ID exists and is open;3) If recent, wait 5–10 mins and retry;4) If mismatch persists, create support ticket with account+stmt id",medium,True,refresh_data
+531,JDE,,account eligible,ACCOUNT_ERROR,This account isn't eligible for online payments right now.,"1) Check account status/credit hold;2) Verify billing account mapping;3) If on hold, follow AR policy;4) Inform customer of next steps",high,False,open_ticket
+TIMEOUT_01,Gateway,timeout|timed out|no response,timeout response,GATEWAY_TIMEOUT,The payment network took too long to respond. We'll try again shortly.,"1) Check gateway status page;2) Auto-retry after 60s;3) If 3+ failures in 15 mins, stop and notify;4) Offer alternate method (ACH/CC)",medium,True,retry_with_delay
+CARD_EXPIRED,Gateway,expired.*card|card.*expired,card expired,PAYMENT_METHOD_ERROR,Your card seems expired. Please update your card details and try again.,"1) Prompt user to update card expiry;2) Re-tokenize method;3) Retry charge;4) If still failing, suggest alternate method",medium,True,request_new_card
+INSUFFICIENT_FUNDS,Gateway,insufficient|funds,insufficient funds,PAYMENT_METHOD_ERROR,The bank declined the charge due to insufficient funds. Try another card or payment method.,"1) Ask user to use another card;2) Suggest ACH/wire;3) If recurring, schedule a reminder;4) Log outcome",low,False,suggest_alternative
+DO_NOT_HONOR,Gateway,do not honor|honour,do not honor,PAYMENT_POLICY_ERROR,The issuing bank declined this payment. Please try another card or contact your bank.,"1) Advise customer to contact bank;2) Offer alternate method;3) If repeated, flag account for review",medium,False,request_bank_contact
+DUPLICATE,Gateway,duplicate|already processed,duplicate payment,DUPLICATE_TXN,Looks like this payment was already processed. Showing the existing receipt.,1) Search last 24h for matching txn;2) Display existing receipt;3) Prevent double-charge;4) Close as resolved,low,True,show_existing
+AVS_MISMATCH,Gateway,address.*mismatch|avs,avs mismatch,PAYMENT_METHOD_ERROR,Your billing address didn't match the card on file. Please confirm and try again.,"1) Prompt for correct billing address;2) Retry;3) If persists, suggest alternate method",medium,True,request_new_card
+CVV_FAIL,Gateway,cvv|cvc|security code,cvv mismatch,PAYMENT_METHOD_ERROR,The security code didn't match. Re-enter it carefully and try again.,"1) Prompt user to re-enter CVV;2) Retry;3) If persists, suggest alternate method",low,True,request_new_card
+3DS_REQUIRED,Gateway,3ds|authentication required,3ds required,PAYMENT_POLICY_ERROR,Additional verification is required by your bank to complete this payment.,"1) Initiate 3DS flow;2) If unavailable, offer alternate method;3) If repeated failures, advise bank contact",medium,False,redirect_3ds
+GATEWAY_DOWN,Gateway,outage|service unavailable|503,gateway down,SYSTEM_OUTAGE,Our payment partner is temporarily unavailable. Please try again later.,1) Check status;2) Disable auto-retries;3) Notify incident channel;4) Surface ETA to user,high,False,open_ticket
+LIMIT_EXCEEDED,Gateway,limit|exceed|velocity,limit exceeded,LIMIT_EXCEEDED,This payment exceeds allowed limits. Try a smaller amount or use another method.,1) Check limit policy;2) Allow split payments if permitted;3) Suggest ACH/wire;4) Escalate if policy exception requested,medium,True,suggest_alternative
+TOKEN_INVALID,Internal,token.*invalid|payment method not found,token invalid,PAYMENT_METHOD_ERROR,The saved payment method couldn't be used. Please re-add it and try again.,1) Invalidate local token;2) Prompt user to re-add;3) Re-tokenize;4) Retry,medium,True,request_new_card
+ACCOUNT_ON_HOLD,Internal,credit hold|collections|delinquent,account on hold,ACCOUNT_ERROR,This account is temporarily on hold. Please contact support to resolve billing status.,1) Verify AR status;2) Provide support contact;3) Do not charge;4) Document call outcome,high,False,open_ticket
+NOT_ELIGIBLE_AUTOPAY,Internal,autopay.*not.*eligible,autopay eligible,AUTOPAY_ELIGIBILITY,This account isn't eligible for AutoPay yet.,1) Check age/NSF policy;2) Display criteria;3) Offer one-time payment;4) Notify AR if edge case,low,False,request_retry
+BAD_REQUEST,Internal,invalid.*input|missing field,bad request,SYSTEM_OUTAGE,Something wasn't right in the request. Please review details and try again.,1) Validate request payload;2) Fix client-side validation;3) Retry;4) Add guardrails for future,medium,True,refresh_data
+NETWORK_GLITCH,Internal,connection reset|econn|network,network glitch,GATEWAY_TIMEOUT,Network hiccup. We'll try that again in a moment.,1) Auto-retry with backoff;2) Monitor error rate;3) Offer alternate method if persistent,low,True,retry_with_delay
